"","Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor","Date"
"51",2022,1,8,"Nou Barris",51,"Verdun","Total. Milers d'euros","162.3",2022-01-01
"52",2022,1,8,"Nou Barris",52,"la Prosperitat","Total. Milers d'euros","164.4",2022-01-01
"53",2022,1,8,"Nou Barris",53,"la Trinitat Nova","Total. Milers d'euros","83.4",2022-01-01
"54",2022,1,8,"Nou Barris",54,"Torre Baró","Total. Milers d'euros","--",2022-01-01
"55",2022,1,8,"Nou Barris",55,"Ciutat Meridiana","Total. Milers d'euros","94.1",2022-01-01
"56",2022,1,8,"Nou Barris",56,"Vallbona","Total. Milers d'euros","--",2022-01-01
"57",2022,1,9,"Sant Andreu",57,"la Trinitat Vella","Total. Milers d'euros","108.3",2022-01-01
"58",2022,1,9,"Sant Andreu",58,"Baró de Viver","Total. Milers d'euros","--",2022-01-01
"59",2022,1,9,"Sant Andreu",59,"el Bon Pastor","Total. Milers d'euros","173.6",2022-01-01
"60",2022,1,9,"Sant Andreu",60,"Sant Andreu","Total. Milers d'euros","279.0",2022-01-01
"61",2022,1,9,"Sant Andreu",61,"la Sagrera","Total. Milers d'euros","249.5",2022-01-01
"62",2022,1,9,"Sant Andreu",62,"el Congrés i els Indians","Total. Milers d'euros","315.2",2022-01-01
"63",2022,1,9,"Sant Andreu",63,"Navas","Total. Milers d'euros","269.2",2022-01-01
"64",2022,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Total. Milers d'euros","235.5",2022-01-01
"65",2022,1,10,"Sant Martí",65,"el Clot","Total. Milers d'euros","427.6",2022-01-01
"66",2022,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Total. Milers d'euros","549.1",2022-01-01
"67",2022,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Total. Milers d'euros","455.2",2022-01-01
"68",2022,1,10,"Sant Martí",68,"el Poblenou","Total. Milers d'euros","416.1",2022-01-01
"69",2022,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Total. Milers d'euros","637.7",2022-01-01
"70",2022,1,10,"Sant Martí",70,"el Besòs i el Maresme","Total. Milers d'euros","256.3",2022-01-01
"71",2022,1,10,"Sant Martí",71,"Provençals del Poblenou","Total. Milers d'euros","247.6",2022-01-01
"72",2022,1,10,"Sant Martí",72,"Sant Martí de Provençals","Total. Milers d'euros","202.9",2022-01-01
"73",2022,1,10,"Sant Martí",73,"la Verneda i la Pau","Total. Milers d'euros","160.7",2022-01-01
"74",2022,1,1,"Ciutat Vella",1,"el Raval","Nou. Milers d'euros","--",2022-01-01
"75",2022,1,1,"Ciutat Vella",2,"el Barri Gòtic","Nou. Milers d'euros","1391.7",2022-01-01
"76",2022,1,1,"Ciutat Vella",3,"la Barceloneta","Nou. Milers d'euros","154.2",2022-01-01
"77",2022,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nou. Milers d'euros","312.0",2022-01-01
